# Event	Time [ms]	ADC	datum
90	1185	2	1652
90	1185	3	1562
91	1203	0	6132
91	1203	1	0
91	1203	2	1557
91	1203	3	1623
92	1204	0	8191
92	1204	1	127
92	1204	2	1675
92	1204	3	1556
93	1213	0	8191
93	1213	1	0
93	1213	2	1561
93	1213	3	1711
94	1250	0	394
94	1250	1	0
94	1250	2	1656
94	1250	3	1522
95	1253	0	4082
95	1253	1	0
95	1253	2	1584
95	1253	3	1544
96	1273	0	8191
96	1273	1	0
96	1273	2	1682
96	1273	3	1599
97	1280	2	1644
97	1280	3	1518
98	1315	0	8191
98	1315	1	0
98	1315	2	1655
98	1315	3	1531
99	1329	2	1663
99	1329	3	1605
100	1330	0	6953
100	1330	1	0
101	1333	0	4900
101	1333	1	0
101	1333	2	1565
101	1333	3	1573
102	1336	0	8191
102	1336	1	0
102	1336	2	1683
102	1336	3	1570
103	1339	0	3672
103	1339	1	0
103	1339	2	1599
103	1339	3	1533
104	1343	0	8191
104	1343	1	60
104	1343	2	1664
104	1343	3	1563
105	1348	2	1656
105	1348	3	1596
106	1348	0	4901
106	1348	1	78
106	1348	2	1569
106	1348	3	1570
107	1368	0	8191
107	1368	1	45
107	1368	2	1642
107	1368	3	1540
108	1369	0	804
108	1369	1	0
108	1369	2	1669
108	1369	3	1516
109	1373	0	8183
109	1373	1	0
109	1373	2	1550
109	1373	3	1690
110	1377	2	1678
110	1377	3	1602
111	1389	0	8191
111	1389	1	0
111	1389	2	1656
111	1389	3	1586
112	1427	2	1590
112	1427	3	1565
113	1434	0	395
113	1434	1	0
113	1434	2	1660
113	1434	3	1527
114	1446	0	2854
114	1446	1	0
114	1446	2	1604
114	1446	3	1524
115	1448	0	2034
115	1448	1	0
115	1448	2	1632
115	1448	3	1512
116	1452	0	8181
116	1452	1	0
116	1452	2	1560
116	1452	3	1683
117	1465	2	1663
117	1465	3	1565
118	1510	0	8191
118	1510	1	0
118	1510	2	1565
118	1510	3	1710
119	1522	0	8191
119	1522	1	0
119	1522	2	1564
119	1522	3	1703
120	1553	0	8186
120	1553	1	0
120	1553	2	1554
120	1553	3	1683
121	1556	0	2033
121	1556	1	77
121	1556	2	1644
121	1556	3	1525
122	1557	0	2438
122	1557	1	0
122	1557	2	1619
122	1557	3	1531
123	1591	2	1671
123	1591	3	1624
124	1603	0	8191
124	1603	1	45
124	1603	2	1663
124	1603	3	1557
125	1610	0	8191
125	1610	1	0
125	1610	2	1667
125	1610	3	1575
126	1612	0	6542
126	1612	1	0
126	1612	2	1563
126	1612	3	1636
127	1616	0	5723
127	1616	1	0
127	1616	2	1568
128	1649	0	8191
128	1649	1	0
128	1649	2	1664
128	1649	3	1534
129	1670	2	1550
129	1670	3	1678
130	1672	0	8191
130	1672	1	0
130	1672	2	1672
130	1672	3	1587
131	1682	0	1620
131	1682	1	62
131	1682	2	1639
131	1682	3	1512
132	1688	0	6954
132	1688	1	45
132	1688	2	1558
133	1735	0	1212
133	1735	1	0
133	1735	2	1639
133	1735	3	1525
134	1765	2	1664
134	1765	3	1621
135	1768	2	1680
135	1768	3	1600
136	1815	2	1545
